country,date,account_cnt,total_country_account_cnt,rank_total_country_account_cnt,send_interval,is_verified,is_unsubscribed,sent_msg,total_country_sent_cnt,rank_total_country_sent_cnt,open_msg,click_msg
United States,2021-01-14,23,12384,1,1,1,1,202,233503,1,111,19
Taiwan,2020-11-07,1,500,7,1,0,0,1,9189,9,1,0
Canada,2020-12-31,0,2067,3,7,1,0,6,37914,3,2,0
Germany,2020-11-22,2,490,8,1,1,1,5,9483,8,1,1
United Kingdom,2021-01-16,0,859,4,1,0,1,7,15748,4,1,0
Italy,2020-11-08,0,386,9,7,1,1,3,7897,11,0,0
France,2021-02-10,0,553,5,1,1,0,71,9520,6,21,2
Taiwan,2020-11-22,2,500,7,1,0,0,3,9189,9,0,0
Italy,2020-12-01,1,386,9,1,1,1,6,7897,11,3,0
Italy,2021-02-11,0,386,9,1,1,0,34,7897,11,6,0
Canada,2021-02-11,0,2067,3,7,1,0,4,37914,3,0,0
Canada,2021-02-14,0,2067,3,1,1,0,160,37914,3,34,5
Singapore,2021-01-07,4,375,10,1,1,0,114,8899,10,28,7
United States,2021-01-29,0,12384,1,7,1,1,5,233503,1,0,0
Canada,2020-12-02,7,2067,3,1,1,1,42,37914,3,21,2
India,2020-11-30,1,2687,2,7,1,0,0,51189,2,0,0
Spain,2021-01-06,1,536,6,1,1,1,9,9491,7,0,0
China,2020-12-10,0,490,8,7,1,1,6,10181,5,6,0
Italy,2020-12-28,1,386,9,1,1,1,21,7897,11,1,1
United States,2021-02-03,0,12384,1,1,0,1,6,233503,1,1,1
United States,2020-11-27,0,12384,1,3,1,1,7,233503,1,0,0
France,2020-11-03,2,553,5,1,0,0,2,9520,6,0,0
Canada,2020-12-08,23,2067,3,1,1,0,417,37914,3,160,17
Singapore,2021-01-22,0,375,10,1,1,1,2,8899,10,0,0
United States,2020-12-25,3,12384,1,1,0,1,7,233503,1,0,0
United Kingdom,2020-11-22,5,859,4,1,1,0,108,15748,4,38,3
United States,2020-11-24,0,12384,1,7,1,0,13,233503,1,4,0
Singapore,2020-12-13,1,375,10,1,1,1,11,8899,10,5,1
Taiwan,2020-12-09,0,500,7,7,1,0,3,9189,9,0,0
Italy,2020-12-31,1,386,9,1,1,0,84,7897,11,28,0
France,2020-12-23,6,553,5,1,1,0,105,9520,6,52,9
United Kingdom,2020-12-26,6,859,4,1,1,0,177,15748,4,35,6
United States,2020-11-25,1,12384,1,3,1,1,5,233503,1,1,1
India,2020-12-22,14,2687,2,1,1,0,619,51189,2,206,23
India,2020-11-12,7,2687,2,1,0,0,1,51189,2,0,0
France,2020-12-15,4,553,5,1,0,0,0,9520,6,0,0
United Kingdom,2021-02-03,0,859,4,1,1,1,11,15748,4,10,3
Spain,2021-01-14,1,536,6,1,0,0,0,9491,7,0,0
France,2020-12-05,2,553,5,1,1,1,5,9520,6,0,0
United States,2020-12-29,3,12384,1,7,1,1,8,233503,1,2,1
United States,2021-01-29,0,12384,1,1,0,1,7,233503,1,3,0
Canada,2020-11-29,1,2067,3,1,0,1,0,37914,3,0,0
United Kingdom,2020-11-11,0,859,4,1,1,1,14,15748,4,9,0
France,2020-12-31,3,553,5,1,1,0,89,9520,6,44,3
Taiwan,2020-12-25,6,500,7,1,1,0,92,9189,9,30,2
China,2020-12-16,6,490,8,1,1,0,140,10181,5,50,6
Italy,2020-11-24,0,386,9,1,1,1,12,7897,11,5,2
United States,2020-12-17,101,12384,1,1,1,0,2617,233503,1,918,104
United Kingdom,2020-11-01,2,859,4,1,0,1,2,15748,4,0,0
India,2021-02-22,0,2687,2,1,1,1,17,51189,2,10,0
Canada,2020-11-26,8,2067,3,1,1,1,31,37914,3,19,1
Spain,2020-12-15,6,536,6,1,1,0,88,9491,7,19,2
Italy,2020-12-16,3,386,9,1,0,0,5,7897,11,0,0
India,2020-11-26,1,2687,2,1,0,1,3,51189,2,1,1
France,2020-11-29,1,553,5,1,1,1,7,9520,6,3,0
Italy,2020-11-09,0,386,9,1,1,0,9,7897,11,0,0
Spain,2021-01-11,2,536,6,1,0,0,2,9491,7,0,0
India,2020-11-13,5,2687,2,1,0,0,4,51189,2,3,0
India,2020-12-03,0,2687,2,3,1,0,3,51189,2,0,0
United States,2020-11-22,52,12384,1,1,1,0,1577,233503,1,545,51
United States,2020-12-17,2,12384,1,7,1,0,21,233503,1,10,4
Canada,2021-01-11,0,2067,3,7,1,1,1,37914,3,1,0
Singapore,2021-01-03,0,375,10,1,1,1,4,8899,10,4,0
Germany,2020-12-13,0,490,8,1,1,1,3,9483,8,2,1
Taiwan,2021-01-03,4,500,7,1,1,0,98,9189,9,24,3
Italy,2021-02-08,0,386,9,7,1,1,5,7897,11,0,0
India,2020-11-07,12,2687,2,1,1,0,135,51189,2,57,14
Singapore,2021-02-13,0,375,10,1,1,0,40,8899,10,17,2
India,2021-01-08,1,2687,2,3,1,1,0,51189,2,0,0
India,2020-12-24,7,2687,2,1,1,1,65,51189,2,27,2
France,2020-11-07,0,553,5,1,1,0,7,9520,6,2,0
India,2021-02-12,0,2687,2,1,1,0,197,51189,2,66,5
Spain,2020-12-08,2,536,6,1,1,1,3,9491,7,1,0
Italy,2021-02-22,0,386,9,1,1,0,7,7897,11,0,0
Taiwan,2020-12-30,2,500,7,1,1,0,96,9189,9,27,1
Spain,2021-02-02,0,536,6,1,1,1,4,9491,7,3,0
United States,2020-12-25,11,12384,1,1,1,1,212,233503,1,123,17
United Kingdom,2021-01-06,0,859,4,7,1,0,2,15748,4,2,0
United States,2020-11-12,29,12384,1,1,0,0,16,233503,1,3,0
United Kingdom,2021-01-23,0,859,4,7,1,0,5,15748,4,0,0
India,2020-11-15,13,2687,2,1,1,0,266,51189,2,99,13
Singapore,2021-01-29,0,375,10,2,1,0,1,8899,10,1,0
Canada,2021-02-09,0,2067,3,1,1,1,3,37914,3,3,0
United States,2021-01-05,1,12384,1,2,1,1,0,233503,1,0,0
Canada,2020-12-01,7,2067,3,1,0,0,6,37914,3,0,0
Spain,2020-12-17,1,536,6,1,1,0,107,9491,7,28,1
China,2021-01-14,2,490,8,1,1,0,114,10181,5,40,2
Italy,2021-02-18,0,386,9,3,1,0,5,7897,11,1,0
Canada,2021-01-01,11,2067,3,1,1,0,408,37914,3,109,10
United Kingdom,2021-01-31,0,859,4,1,1,1,6,15748,4,6,1
France,2021-01-06,2,553,5,1,0,0,2,9520,6,0,0
Italy,2021-02-08,0,386,9,3,1,0,6,7897,11,2,1
United States,2020-11-05,21,12384,1,1,1,1,41,233503,1,33,8
France,2020-12-16,3,553,5,1,1,1,6,9520,6,4,0
Spain,2021-02-12,0,536,6,1,1,0,20,9491,7,2,0
United States,2020-11-22,30,12384,1,1,0,0,29,233503,1,15,0
United States,2021-01-20,3,12384,1,1,0,1,16,233503,1,5,2
Taiwan,2020-11-05,1,500,7,1,0,0,1,9189,9,0,0
Canada,2021-01-10,0,2067,3,7,1,1,2,37914,3,2,0
United Kingdom,2020-11-09,1,859,4,1,0,1,0,15748,4,0,0
United Kingdom,2020-12-30,2,859,4,1,0,0,3,15748,4,2,0
United Kingdom,2020-12-31,2,859,4,7,1,0,1,15748,4,1,1
Canada,2020-12-11,14,2067,3,1,1,0,429,37914,3,167,20
United Kingdom,2020-12-20,2,859,4,1,1,1,19,15748,4,12,0
Italy,2021-01-02,1,386,9,1,1,1,19,7897,11,3,0
India,2020-11-30,4,2687,2,1,1,1,45,51189,2,28,2
China,2020-12-30,1,490,8,1,0,0,0,10181,5,0,0
United Kingdom,2020-11-26,6,859,4,1,1,0,116,15748,4,31,6
United States,2020-11-03,115,12384,1,1,1,0,228,233503,1,96,15
India,2021-02-23,0,2687,2,1,1,0,54,51189,2,8,0
Italy,2021-02-06,0,386,9,1,1,0,53,7897,11,14,0
United Kingdom,2020-12-28,2,859,4,1,1,1,11,15748,4,7,1
Germany,2021-01-17,0,490,8,7,1,1,3,9483,8,1,0
United States,2021-02-04,0,12384,1,7,1,1,5,233503,1,2,2
Spain,2020-12-07,0,536,6,1,0,1,3,9491,7,0,0
Spain,2020-12-09,0,536,6,1,0,1,3,9491,7,3,0
United Kingdom,2020-12-05,0,859,4,7,1,0,1,15748,4,1,0
Singapore,2020-12-27,4,375,10,1,1,0,90,8899,10,15,0
France,2020-11-18,2,553,5,1,1,1,4,9520,6,4,2
India,2020-12-25,1,2687,2,1,1,1,54,51189,2,19,1
Singapore,2020-12-19,0,375,10,1,0,0,3,8899,10,1,0
Germany,2021-02-10,0,490,8,1,1,0,57,9483,8,20,6
Taiwan,2020-11-04,0,500,7,1,1,1,3,9189,9,2,0
Taiwan,2020-12-10,2,500,7,1,1,1,10,9189,9,6,1
Canada,2020-11-12,3,2067,3,1,1,1,6,37914,3,6,0
United States,2020-12-29,38,12384,1,1,0,0,26,233503,1,10,0
Italy,2021-01-27,1,386,9,1,1,0,63,7897,11,22,0
United States,2021-02-21,0,12384,1,1,1,0,320,233503,1,114,5
United States,2020-11-13,61,12384,1,1,1,0,895,233503,1,365,47
Canada,2021-01-02,9,2067,3,1,1,0,397,37914,3,117,12
United States,2020-11-19,0,12384,1,7,1,1,9,233503,1,9,2
Germany,2020-11-27,1,490,8,1,1,0,54,9483,8,27,3
Canada,2020-12-10,18,2067,3,1,1,0,434,37914,3,164,27
Canada,2021-01-29,0,2067,3,1,1,1,38,37914,3,23,5
United Kingdom,2021-01-28,0,859,4,1,1,0,169,15748,4,69,11
Italy,2021-01-31,0,386,9,3,1,0,6,7897,11,4,1
United States,2021-02-05,0,12384,1,7,1,0,9,233503,1,2,2
United States,2021-02-20,0,12384,1,1,0,0,1,233503,1,0,0
United States,2020-12-23,20,12384,1,1,1,1,257,233503,1,148,16
United Kingdom,2020-12-10,0,859,4,7,1,0,5,15748,4,0,0
France,2020-11-27,1,553,5,1,0,0,1,9520,6,1,0
United States,2021-02-05,0,12384,1,1,1,1,160,233503,1,53,2
Taiwan,2020-11-20,0,500,7,1,1,0,62,9189,9,16,2
United States,2021-02-05,0,12384,1,7,1,1,4,233503,1,0,0
United States,2020-11-28,22,12384,1,1,1,1,159,233503,1,78,7
China,2020-12-01,0,490,8,1,1,1,7,10181,5,4,0
India,2021-01-03,5,2687,2,1,1,1,35,51189,2,6,1
Spain,2020-11-18,5,536,6,1,1,0,74,9491,7,15,1
France,2021-01-09,0,553,5,1,1,1,7,9520,6,7,0
India,2021-01-27,0,2687,2,1,0,1,5,51189,2,0,0
India,2021-01-05,9,2687,2,1,0,0,6,51189,2,5,0
India,2021-02-14,0,2687,2,7,1,0,1,51189,2,0,0
India,2021-02-08,0,2687,2,1,1,1,45,51189,2,15,2
Canada,2020-12-08,1,2067,3,1,0,1,2,37914,3,0,0
China,2021-02-05,0,490,8,1,1,1,3,10181,5,2,1
Spain,2020-11-27,5,536,6,1,1,0,125,9491,7,48,6
United States,2020-11-07,0,12384,1,7,1,1,6,233503,1,6,2
United States,2020-12-20,0,12384,1,3,1,0,14,233503,1,5,1
Germany,2021-02-05,0,490,8,1,1,0,66,9483,8,12,1
Canada,2021-02-17,0,2067,3,1,1,0,144,37914,3,37,5
Spain,2021-01-27,0,536,6,1,1,0,70,9491,7,18,3
Taiwan,2020-12-16,0,500,7,1,1,1,5,9189,9,0,0
United Kingdom,2021-02-08,0,859,4,1,1,1,5,15748,4,0,0
Italy,2020-12-09,0,386,9,1,1,1,18,7897,11,13,4
United States,2020-12-26,1,12384,1,1,0,1,1,233503,1,0,0
Spain,2021-01-21,2,536,6,1,1,0,70,9491,7,15,1
Spain,2020-12-20,1,536,6,1,1,1,7,9491,7,0,0
Canada,2021-01-16,3,2067,3,1,1,1,54,37914,3,22,0
Taiwan,2020-12-23,3,500,7,1,1,0,99,9189,9,32,0
France,2020-11-19,0,553,5,7,1,1,1,9520,6,1,0
United States,2021-02-19,0,12384,1,7,1,0,5,233503,1,5,1
China,2021-02-02,0,490,8,1,1,0,105,10181,5,38,2
France,2021-02-03,0,553,5,1,1,1,3,9520,6,0,0
Canada,2020-12-13,4,2067,3,1,0,0,5,37914,3,2,0
France,2021-01-02,0,553,5,1,1,0,92,9520,6,47,9
Canada,2020-12-20,2,2067,3,1,1,1,43,37914,3,25,0
Germany,2021-01-31,0,490,8,7,1,1,3,9483,8,1,0
India,2021-02-06,0,2687,2,1,1,0,299,51189,2,92,7
Germany,2021-01-14,1,490,8,1,0,1,0,9483,8,0,0
United Kingdom,2020-11-16,3,859,4,1,0,0,1,15748,4,0,0
China,2020-11-08,0,490,8,1,1,0,8,10181,5,8,1
United States,2020-12-30,0,12384,1,7,1,0,20,233503,1,7,1
Taiwan,2020-11-04,2,500,7,1,0,0,1,9189,9,1,0
Taiwan,2021-02-13,0,500,7,1,1,0,51,9189,9,17,3
Italy,2020-12-15,0,386,9,1,1,1,18,7897,11,3,0
Spain,2020-11-25,2,536,6,1,1,0,126,9491,7,40,5
India,2020-11-26,1,2687,2,1,1,1,46,51189,2,25,1
Italy,2020-12-13,1,386,9,1,1,0,59,7897,11,18,5
Canada,2021-02-08,0,2067,3,1,1,0,210,37914,3,55,7
India,2020-12-11,2,2687,2,1,0,1,2,51189,2,0,0
United States,2020-12-28,19,12384,1,1,1,1,178,233503,1,108,10
Italy,2020-11-04,1,386,9,1,0,0,0,7897,11,0,0
France,2021-01-23,1,553,5,1,1,1,4,9520,6,1,0
China,2021-01-22,5,490,8,1,1,0,134,10181,5,56,5
Spain,2021-01-19,3,536,6,1,0,0,2,9491,7,0,0
Germany,2021-01-15,0,490,8,1,0,0,1,9483,8,1,0
Italy,2020-11-17,0,386,9,7,1,1,6,7897,11,1,1
France,2021-01-26,0,553,5,3,1,0,3,9520,6,0,0
Taiwan,2021-01-29,0,500,7,1,1,0,69,9189,9,27,1
United States,2021-01-24,42,12384,1,1,0,0,33,233503,1,11,0
United Kingdom,2021-01-02,2,859,4,1,0,0,3,15748,4,2,0
France,2020-12-28,0,553,5,7,1,1,7,9520,6,0,0
United Kingdom,2020-11-21,6,859,4,1,1,0,99,15748,4,31,3
Germany,2021-02-13,0,490,8,1,1,0,49,9483,8,21,4
United Kingdom,2020-11-20,6,859,4,1,1,0,96,15748,4,28,5
Canada,2020-12-18,11,2067,3,1,1,0,502,37914,3,174,22
India,2021-01-30,0,2687,2,7,1,0,3,51189,2,0,0
France,2020-11-18,1,553,5,1,0,1,0,9520,6,0,0
Italy,2021-01-05,1,386,9,1,0,0,0,7897,11,0,0
India,2020-11-11,7,2687,2,1,0,0,3,51189,2,1,0
United Kingdom,2021-01-03,0,859,4,7,1,0,2,15748,4,2,0
United States,2021-01-08,2,12384,1,7,1,0,30,233503,1,11,2
France,2021-02-03,0,553,5,1,1,0,97,9520,6,30,2
France,2021-01-25,0,553,5,7,1,0,6,9520,6,3,0
India,2021-02-12,0,2687,2,7,1,0,3,51189,2,0,0
United Kingdom,2020-11-08,4,859,4,1,1,0,45,15748,4,16,4
Canada,2021-01-03,0,2067,3,3,1,0,12,37914,3,8,0
United States,2021-01-20,0,12384,1,7,1,0,25,233503,1,11,3
Taiwan,2020-11-25,1,500,7,1,1,0,89,9189,9,31,3
United States,2021-01-04,14,12384,1,1,1,1,144,233503,1,87,6
Taiwan,2021-02-03,0,500,7,1,1,0,65,9189,9,21,0
France,2020-12-20,1,553,5,7,1,1,1,9520,6,0,0
United States,2021-01-30,0,12384,1,1,0,0,12,233503,1,3,0
Singapore,2021-01-17,1,375,10,1,0,0,0,8899,10,0,0
United Kingdom,2020-11-11,5,859,4,1,1,0,52,15748,4,23,3
Singapore,2021-01-19,0,375,10,1,1,1,3,8899,10,1,1
China,2020-11-04,3,490,8,1,0,0,0,10181,5,0,0
United States,2020-11-24,16,12384,1,1,1,1,175,233503,1,97,15
Canada,2021-02-16,0,2067,3,1,0,0,5,37914,3,0,0
Singapore,2021-02-15,0,375,10,1,1,0,41,8899,10,21,2
United Kingdom,2020-12-04,0,859,4,7,1,0,1,15748,4,1,0
Taiwan,2020-11-04,7,500,7,1,1,0,15,9189,9,6,1
India,2021-01-02,5,2687,2,1,1,1,40,51189,2,8,2
Singapore,2020-12-11,1,375,10,1,0,0,2,8899,10,0,0
China,2020-12-18,2,490,8,1,1,0,152,10181,5,55,9
France,2020-11-03,1,553,5,1,0,1,1,9520,6,0,0
France,2020-12-30,2,553,5,1,1,0,87,9520,6,41,5
Taiwan,2020-12-28,3,500,7,1,1,0,76,9189,9,19,2
Canada,2020-11-22,1,2067,3,1,0,0,1,37914,3,1,0
Singapore,2020-12-27,1,375,10,1,0,0,2,8899,10,2,0
Germany,2021-01-26,0,490,8,1,1,1,5,9483,8,1,0
United States,2020-11-01,65,12384,1,1,1,0,36,233503,1,14,1
Canada,2020-11-04,2,2067,3,1,0,1,1,37914,3,0,0
United Kingdom,2021-01-07,0,859,4,1,0,1,8,15748,4,0,0
China,2021-01-27,4,490,8,1,0,0,2,10181,5,2,0
India,2021-01-17,0,2687,2,7,1,0,2,51189,2,1,1
Italy,2020-11-25,0,386,9,1,1,1,11,7897,11,10,0
India,2021-02-14,0,2687,2,1,1,0,156,51189,2,50,4
China,2020-12-14,0,490,8,7,1,1,5,10181,5,3,2
Italy,2021-01-26,0,386,9,3,1,0,8,7897,11,2,0
France,2021-01-15,0,553,5,7,1,0,6,9520,6,0,0
Singapore,2020-12-25,0,375,10,1,1,0,104,8899,10,18,0
Germany,2020-12-15,0,490,8,2,1,0,4,9483,8,4,0
Spain,2020-11-20,1,536,6,1,1,1,0,9491,7,0,0
China,2020-12-23,3,490,8,1,1,0,127,10181,5,40,4
Canada,2021-01-12,4,2067,3,1,0,0,5,37914,3,0,0
China,2021-01-22,0,490,8,1,1,1,6,10181,5,5,2
United Kingdom,2020-12-08,0,859,4,7,1,0,2,15748,4,1,1
United States,2020-12-03,2,12384,1,7,1,0,16,233503,1,5,2
Germany,2020-12-21,2,490,8,1,1,0,105,9483,8,37,1
Canada,2021-01-27,11,2067,3,1,1,0,340,37914,3,112,6
India,2020-12-19,1,2687,2,7,1,0,10,51189,2,8,1
Spain,2020-11-17,2,536,6,1,0,0,0,9491,7,0,0
China,2020-11-20,0,490,8,1,0,0,1,10181,5,0,0
India,2021-01-06,9,2687,2,1,1,1,33,51189,2,13,2
France,2020-12-20,5,553,5,1,1,0,93,9520,6,33,5
China,2020-11-20,0,490,8,1,1,1,4,10181,5,4,0
India,2020-11-11,15,2687,2,1,1,0,197,51189,2,82,12
France,2021-01-02,0,553,5,7,1,0,3,9520,6,0,0
Spain,2020-12-03,2,536,6,1,1,1,6,9491,7,5,1
Canada,2020-11-10,12,2067,3,1,1,0,93,37914,3,23,2
United States,2021-01-24,71,12384,1,1,1,0,2339,233503,1,826,101
Canada,2021-01-24,1,2067,3,1,0,1,0,37914,3,0,0
United States,2021-01-05,46,12384,1,1,0,0,30,233503,1,9,0
Italy,2020-12-31,0,386,9,1,1,1,18,7897,11,4,1
Spain,2020-11-07,1,536,6,1,0,0,0,9491,7,0,0
India,2021-01-07,1,2687,2,7,1,0,3,51189,2,1,0
India,2020-11-19,1,2687,2,1,0,1,2,51189,2,0,0
United Kingdom,2020-12-21,3,859,4,1,0,0,4,15748,4,3,0
Taiwan,2020-11-08,0,500,7,1,1,1,2,9189,9,2,0
Germany,2020-12-02,1,490,8,1,0,0,0,9483,8,0,0
Spain,2021-02-08,0,536,6,7,1,1,8,9491,7,8,0
Italy,2020-11-10,0,386,9,7,1,1,3,7897,11,0,0
France,2021-02-18,0,553,5,1,1,0,36,9520,6,17,5
France,2020-12-04,5,553,5,1,1,0,66,9520,6,32,1
United States,2021-02-05,0,12384,1,1,0,0,4,233503,1,2,1
Canada,2020-12-16,3,2067,3,1,1,1,59,37914,3,32,10
United States,2021-01-20,44,12384,1,1,0,0,20,233503,1,7,0
United States,2020-12-15,5,12384,1,1,0,1,3,233503,1,0,0
United Kingdom,2020-12-20,2,859,4,1,1,0,200,15748,4,58,8
Canada,2020-11-06,16,2067,3,1,1,0,56,37914,3,16,5
Taiwan,2021-01-11,0,500,7,1,1,1,15,9189,9,2,0
India,2020-11-01,5,2687,2,1,1,1,0,51189,2,0,0
Canada,2021-01-25,0,2067,3,7,1,0,1,37914,3,0,0
Germany,2021-02-03,0,490,8,1,1,0,58,9483,8,12,3
Canada,2020-11-02,4,2067,3,1,1,1,2,37914,3,0,0
Italy,2020-11-20,1,386,9,1,1,1,0,7897,11,0,0
Canada,2021-01-26,7,2067,3,1,0,0,4,37914,3,1,0
United States,2020-11-17,97,12384,1,1,1,0,1193,233503,1,452,44
Spain,2020-11-11,3,536,6,1,1,1,2,9491,7,2,1
Canada,2020-11-08,4,2067,3,1,1,1,16,37914,3,13,1
China,2021-02-12,0,490,8,1,1,0,54,10181,5,13,1
United States,2020-11-07,14,12384,1,1,1,1,63,233503,1,48,9
Taiwan,2021-02-10,0,500,7,1,1,0,35,9189,9,21,2
Canada,2020-12-26,0,2067,3,7,1,0,8,37914,3,6,1
United Kingdom,2021-01-27,2,859,4,1,1,1,14,15748,4,10,2
Italy,2021-01-13,1,386,9,1,1,1,11,7897,11,7,0
United Kingdom,2021-01-13,5,859,4,1,1,0,162,15748,4,50,9
United States,2021-01-23,0,12384,1,7,1,0,22,233503,1,13,3
Spain,2020-11-02,1,536,6,1,0,1,3,9491,7,1,0
United States,2021-01-16,0,12384,1,7,1,1,3,233503,1,0,0
Spain,2021-01-18,2,536,6,1,1,1,8,9491,7,8,1
Canada,2020-11-13,1,2067,3,1,0,1,3,37914,3,0,0
Canada,2021-01-21,3,2067,3,1,1,1,55,37914,3,35,5
Italy,2021-01-28,0,386,9,1,1,0,58,7897,11,27,1
Canada,2021-02-04,0,2067,3,1,1,1,12,37914,3,7,1
Canada,2020-11-20,0,2067,3,1,0,1,3,37914,3,0,0
India,2020-12-15,30,2687,2,1,1,0,579,51189,2,184,17
Taiwan,2020-12-15,3,500,7,1,0,0,3,9189,9,1,0
United States,2021-01-21,4,12384,1,1,0,1,20,233503,1,5,2
Taiwan,2020-11-29,2,500,7,1,1,0,94,9189,9,26,1
United States,2021-02-14,0,12384,1,7,1,1,3,233503,1,3,0
Spain,2020-11-11,3,536,6,1,0,0,1,9491,7,0,0
Canada,2020-12-04,5,2067,3,1,0,0,4,37914,3,2,0
United States,2020-11-27,2,12384,1,1,0,1,0,233503,1,0,0
India,2021-01-10,16,2687,2,1,1,0,461,51189,2,195,13
